message,sentiment,confidence
У меня там случился культурный шок,NEGATIVE,75.16
"От Термини, от этих бомжей на улицах",NEUTRAL,78.98
И у Петра🙈,NEUTRAL,82.88
Ватикан?,NEUTRAL,82.92
Да,NEUTRAL,81.3
"Людей море было, я не очень впечатлился тогда увы, в Капелле",NEGATIVE,75.14
"Но вообще в Италии прям классно отдыхается. Но вообще как в Грузии, для меня примерно одинаково",NEGATIVE,75.13
По особенностям менталитета,NEUTRAL,79.95
"Я в августе первый раз была - жарко было ужасно и туристы, туристы, туристы… А еще половина всего закрыто - сами итальянцы в отпусках",NEGATIVE,75.15
"Но там здорово, да",POSITIVE,96.24
Я там вообще ничего не поняла и не рассмотрела особо,NEUTRAL,82.89
"И были во Флоренции - но тоже не попала в галерею Уффици - невозможно было купить билет, очереди километровые",NEGATIVE,75.17
Зато поела хорошо,NEGATIVE,75.16
Попала в драку с немцами,NEUTRAL,82.67
Тогда играли в Лиге Европы,NEUTRAL,82.88
Оля! Я вместо шедевров Натальи принесу кое-то другое,NEGATIVE,75.17
"Римский календарь. Он на 2018 год, но это неважно",NEUTRAL,82.51
Важно там другое,NEGATIVE,75.16
"Настя, как ты поняла, здесь уже без разницы, что ты приносишь....",NEUTRAL,76.19
,NEUTRAL,71.28
Вот такой,NEGATIVE,75.17
Что за извращение,NEUTRAL,69.34
Почему?,NEUTRAL,82.63
Красавчики,POSITIVE,96.33
Священник - секс-символ,NEUTRAL,82.95
У них целибат вообще-то,NEUTRAL,82.87
🤷🏼‍♀️,POSITIVE,59.17
Мы просто смотрим,NEUTRAL,82.92
Я и говорю извращение,NEGATIVE,75.16
Нельзя что ли,NEGATIVE,75.14
"ой, какие красивые",POSITIVE,96.53
Просто смотреть),NEUTRAL,80.56
можно мне к ним,POSITIVE,51.4
"Игорь говорит, извращение",NEGATIVE,75.17
"Извращение, это не видеть Татьяну, которая хочет Игорь тебя сожрать глазами",NEGATIVE,75.17
🤣🤣🤣,POSITIVE,59.17
Почему нужно смотреть на священников именно?,NEUTRAL,82.47
Это дурость,NEGATIVE,75.16
"Согласна, в Италии все красавчики мужчины, особенно военные, карабинери",POSITIVE,95.19
Ох,NEGATIVE,75.14
Но с ними календаря не было,NEUTRAL,82.88
"Был еще с гладиаторами, они там полуголые, но мне не оч понравилось",NEUTRAL,74.56
Должна быть загадка,NEUTRAL,82.88
"вы можете делать что хотите, но это реально изврат. Священник в католицизме - целибат. Его изображают как секс-символ. Это идиотизм вот и всё",NEGATIVE,75.15
все равно что детей одевать в сексуальную одежду(,NEGATIVE,99.49
Ой извините извините,NEGATIVE,75.15
это возмущает мое сознание),NEGATIVE,75.17
"Ой ладно
да они не священники на фотках будто
а прям модели какие-то",NEGATIVE,75.03
"Я че-то не пойму, ты как давно таким ярым моралистом стал?",NEGATIVE,75.15
Не смотри тогда!,NEUTRAL,82.97
священники,NEUTRAL,82.96
Мы будем смотреть,NEUTRAL,82.77
я за адекватность,NEUTRAL,79.83
да делайте че хотите),NEUTRAL,82.94
ну Июль конечно не оч красивый,NEUTRAL,73.53
а вот июнь просто прям модель,NEUTRAL,82.67
Сентябрь 💔,NEUTRAL,77.49
мне ноябрь и декабрь еще понравились,POSITIVE,96.77
"Игорь, чтобы тебя порадовать можем и тебе кого-нибудь в купальнике прислать!",NEGATIVE,75.14
Только не священника,NEUTRAL,81.91
"Ну мы поняли, что наверное все-таки женщины",NEUTRAL,82.52
"Оля, есть фото ГН в купальнике?",NEUTRAL,80.26
У меня тут коллега походу гей,NEUTRAL,82.63
Не пойму их вообще много или в госструктурах,NEUTRAL,78.54
Что набросился на тебя?,NEUTRAL,79.53
"Нет, я распознал своим ясным чутьем",NEUTRAL,82.97
Ну берегись,POSITIVE,96.88
Вдруг ты ему понравишься,POSITIVE,94.04
Да он норм,NEUTRAL,82.69
Меня не смущают,NEUTRAL,79.41
я поищу,NEUTRAL,82.84
Татьяны фото,NEUTRAL,82.9
"зачем ГН, Игорь ослепнет",NEGATIVE,75.17
"а я вот тебе говорила!
нами и управляют одни педики",NEGATIVE,75.15
как ты понял?,NEUTRAL,83.03
Голос,NEUTRAL,82.52
И педофилы,NEGATIVE,75.16
вот вот,NEUTRAL,76.77
"Я сам говорил, что по голосу не очевидно, я знаю) но тут как-то слишком очевидно",POSITIVE,99.07
Почему вдруг еще и они?,NEUTRAL,83.03
Не находил статистику на росстате,NEUTRAL,82.99
"Ну может, может, не знаю",NEUTRAL,82.89
Еще совещаются?,NEUTRAL,83.0
"ну конечно ты прав, такая тату это смело)",NEUTRAL,78.33
А по геям нашел?,NEUTRAL,81.71
🤔,POSITIVE,59.17
"уже все, слава богу",NEUTRAL,82.36
Где-то есть оценочные значения),NEUTRAL,82.71
"«Исследуем много лет, ничего не доказали, но обязательно докажем»",NEUTRAL,81.76
Еще всех догоним и перегоним,NEUTRAL,82.81
В количестве всех этих,NEUTRAL,81.8
"Игорь, там надо Олю спасать",NEUTRAL,82.87
Работун напал,NEUTRAL,69.36
"Похоже, у нас скрытая национальная программа внедрена и успешно реализуется - результаты налицо.",POSITIVE,91.65
В 7 вечера в пятницу просто так работун не нападает…,NEGATIVE,63.76
У него есть конкретное имя,NEUTRAL,82.76
Даже не знаю о ком ты,NEGATIVE,75.16
"Ребята, я вышла в 7, а пиар еще остался с ней сидеть, было грустно, я видела в его глазах боль и разочарование",NEGATIVE,75.15
Еще бы,NEUTRAL,82.87
😬,POSITIVE,59.17
Может он в понедельник больше не придет,NEUTRAL,82.94
"Он такой добродушный
Из-за доброты душевной придет",POSITIVE,98.11
Ручные утки,NEUTRAL,82.97
,NEUTRAL,71.28
Откармливаешь?,NEUTRAL,82.9
Это ты где?),NEUTRAL,83.04
"Вчера гуляли у нас в парке, где на корпоративе были. Там в Москве кувшинки!",NEUTRAL,78.42
И рыбки,NEUTRAL,83.02
И утки,NEGATIVE,75.16
И толпа людей 😫,POSITIVE,59.62
"Все круто, кроме толпы людей😀",POSITIVE,98.07
В деревне у родителей,NEUTRAL,82.79
"Да, в этом году 3 утиные семьи, 18 особей",NEUTRAL,82.94
"Утка по-пекински, паштеты, салаты… 👍🏻",POSITIVE,86.17
,NEUTRAL,71.28
Блин,NEGATIVE,75.16
Не помещается,NEUTRAL,78.23
Я выбрала картинку,NEUTRAL,82.9
Щетка для спины?,NEUTRAL,82.91
Насть😂😂,NEUTRAL,82.88
Хм,NEUTRAL,47.79
Интересная версия,NEUTRAL,82.6
,NEUTRAL,71.28
Вот что это такое!,NEGATIVE,75.12
Это ты ГН загадала? Или это ее загадка?,NEUTRAL,82.64
"Боже упаси, чтобы я в рабочем чате в выходной день…",NEGATIVE,75.17
"Конечно, это ГН",NEUTRAL,82.24
"Наверное, победитель бы не представлял список задач",NEUTRAL,82.97
Но победителя не оказалось,NEUTRAL,82.76
Победителю - право не обниматься с ГН на полгода,NEUTRAL,82.93
Это для победителя целого марафона,NEUTRAL,82.87
Слишком серьезный приз!,NEUTRAL,82.81
"Супер-Победителей, кстати, у нас уже 3: Ростислав, Кристина, ты. Вообще никогда не обниматься в обозримом с ней в обозримом будущем!",POSITIVE,95.79
Ой что я написала,NEGATIVE,75.16
Мы словили Джек пот),NEGATIVE,75.14
До конца проекта можно уже,NEUTRAL,82.8
Нужно пройти серию испытаний,NEGATIVE,75.17
"Она так долго обнимала в пятницу меня 
Пиар сказал: «затяжные обнимания»",NEUTRAL,75.19
Интеллектуальных и нет,NEUTRAL,83.67
Гонка героев🤣,NEUTRAL,66.72
Затяжные)),NEUTRAL,80.89
"Оля, может у тебя духи с феромонами?",NEUTRAL,68.44
"Может, это она делает перед тем, как откусить голову?",NEGATIVE,75.16
Обнимает жертву,NEUTRAL,82.99
🤔,POSITIVE,59.17
Эфирное масло герани отпугивает кровососущих насекомых,NEUTRAL,82.11
"С феромонами обычно мужики цепляются
Я бы хотела, чтобы уж ладно мужики обнимали, а обнимает она😭😭😭😭",POSITIVE,92.28
"Пожалуй, стоит уже купить",NEGATIVE,75.0
"Ну ты так рассказала, на мужиков не надейся…",NEUTRAL,81.73
Все мужики ей,NEUTRAL,82.96
Кто? Евгений? Александр?,NEUTRAL,82.92
"Нет, ну вот что Юрист
Что пиар совсем вот 
Вместо 7 тыщ, Женя получит 5",NEGATIVE,75.16
Ну вот как так,NEUTRAL,83.01
Объясните мне,NEGATIVE,75.1
Может носить осиновый кол и чеснок под одеждой? Вдруг сработает,NEUTRAL,83.0
"Захочет обняться, а я сразу кол осиновый достану",NEUTRAL,70.3
Это что такое - 7 и 5 тыщ?,NEUTRAL,82.79
"У Жени др в понедельник
Сказала всем и написала всем, чтобы на карту втб кидали
Но пиар и юрист решили по своему скинуть",NEGATIVE,75.12
"И скинули на сбер, а сбер у меня под арестом)",POSITIVE,98.1
"А вдруг она обнимает, а потом задушит в объятиях, как змея",POSITIVE,80.32
"Ну это-то понятно, даже не обсуждается - змея и есть",NEUTRAL,81.86
Надо пересмотреть «Сверхъестественное»,NEUTRAL,82.99
Кстати да,NEUTRAL,80.88
Тебе кстати кто нравился из двух братьев?😏,NEUTRAL,80.94
"Честно говоря, ни один ни другой",NEGATIVE,75.16
😑,POSITIVE,59.17
По моим подсчетам д.б. 8 - или Влад не в команде?),POSITIVE,99.05
"Да, я Настю забыла😬",NEUTRAL,71.88
Ну будет 6,NEUTRAL,82.26
"Если они не видят не фига, куда скидывать, что ж поделать",NEGATIVE,75.16
Немного невнимательны),NEUTRAL,82.38
"Ну да, спасибо им
Заплатили за мои кредиты)",POSITIVE,98.13
)),NEUTRAL,74.06
Пусть как раз присылают,NEGATIVE,75.16
"Знаете, я сейчас искала документ",NEUTRAL,82.91
"И нашла конверт. Подумала, что там фотки наверное",NEUTRAL,83.05
И нашла там 2 тысячи,NEUTRAL,82.88
Как приятно,POSITIVE,98.02
😄,POSITIVE,59.17
Это от юриста и пиара пришли),NEUTRAL,82.73
Ну я их Оле не отдам,NEUTRAL,58.87
Извините,NEGATIVE,75.14
Куплю красную икру,NEUTRAL,82.34
Нормально живешь 😀,POSITIVE,70.48
И за меня бутер съешь🤣,NEUTRAL,82.46
"Ох, ребята",NEUTRAL,67.54
Я завтра максимально идти,NEUTRAL,81.34
Но надо,NEUTRAL,82.17
Галина с утра со своими планами😭,NEUTRAL,81.63
,NEUTRAL,71.28
😂😂😂😂,POSITIVE,59.17
"Аааааа, я завтра так и напишу 
«Планы мести на неделю»😈😈",POSITIVE,95.33
🥲,POSITIVE,59.17
Я дома,NEUTRAL,76.96
Добавьте Женю,NEUTRAL,82.87
,NEUTRAL,71.28
,NEUTRAL,71.28
Мне понравился в анкете общественного помощника вопрос: злоупотребляете ли Вы алкогольными напитками или наркотическими средствами?,NEUTRAL,79.3
"Нет, конечно! Наркотики и алкоголь - в меру",NEUTRAL,82.98
Надо было написать что да !,NEUTRAL,78.63
Все равно не сделали ее)),NEUTRAL,82.79
,NEUTRAL,71.28
Это лучшая фоточка)))),POSITIVE,98.07
,NEUTRAL,71.28
Ооооооо!!!!,NEGATIVE,75.11
,NEUTRAL,71.28
Я дома!,NEUTRAL,58.98
Она досталась мне с Алексеем,NEGATIVE,75.12
"У меня таких 5 штук: чудовище, страшила, жирняш, пиздюк и мохнатый хачик!",POSITIVE,65.16
Ужас! Я с одной никак ужиться не могу,NEGATIVE,75.17
Глаза красивые,POSITIVE,98.01
Ага и смотрят на тебя как на….. как ГН,NEGATIVE,75.15
🫣,POSITIVE,59.17
"Точно, прям ее взгляд",NEUTRAL,82.94
Эстетика на 5),POSITIVE,71.3
По материалам этой группы можно написать отличную статью по социологии или психологии рабочих отношений в коллективах с расстройствами психики 😁или написать сценарий,POSITIVE,73.2
"Хорошо, что я не собираюсь в магистратуру))))",POSITIVE,99.07
,NEUTRAL,71.28
Вот так,NEUTRAL,82.95
Ого,NEUTRAL,82.29
Смешанное чувство радости за детей и неприязни от неизбежного роста репутации ГН от этого сообщения.,NEGATIVE,75.16
"Хотя по существу Аксенова, я так подозреваю, прет как танк, и сама продуцирует изменения вокруг себя, и вообще на позитиве. Интересно, как именно и когда случился этот пинок министерствам.",NEGATIVE,75.15
Пинок министерствам еще случился от ФОИВов…,NEUTRAL,82.42
"Ну что, прекрасно, ГН наверное со слезами на глазах от счастья",NEGATIVE,75.15
Продвигаемся дальше в проекте,NEUTRAL,82.95
"Но никто не будет об этом говорить, если можно заявить об исключительном эффекте проекта. И раз это работает на интересы репутации УПР - это прекрасный результат",POSITIVE,95.09
"Ох, что за люди. Надо порадоваться, а мы тут…",NEUTRAL,59.11
,NEUTRAL,71.28
"Все день удался, фраза дня получина: Новосибирск - пилот в пилоте)",POSITIVE,99.07
,NEUTRAL,71.28
,NEUTRAL,71.28
А вы «многая и благая лета» пели в честь события?,NEUTRAL,80.42
"Вообще, отсутствие хорового исполнения гимнов в честь ее светлости перед началом совещаний - большая недоработка",NEUTRAL,81.13
"Простите, из меня лезет))🫤",NEUTRAL,81.12
"Ты просто завидуешь, что уже не в проекте",POSITIVE,40.81
Само собой,NEUTRAL,82.92
"Новости нашего дурдома: Наташа сказаа что собирается увольняться, не хочет работать с ГН",NEGATIVE,75.15
"ну ребята, ну увольтесь все вместе на ее день рождения, ну пожалуйста)",POSITIVE,99.07
пипец,NEGATIVE,75.16
18 числа все напишем давайте,NEUTRAL,82.75
она опять ее сегодня гнобила? или что?,NEGATIVE,75.16
пипец,NEGATIVE,75.16
В день ее рождения отличная идея,POSITIVE,89.47
"Пиар сказал, что ему нравится работать с нами, ну вот а с начальством....намекнул что не очень",NEGATIVE,75.12
и все так говорят,NEUTRAL,82.96
"Так никому не ок, тут итак все понятно",NEUTRAL,82.39
почему же никому? Мне кажется кому-то ок,NEUTRAL,43.33
Давайте попросим ее уволиться!,NEUTRAL,82.86
Проголосуем,NEUTRAL,82.91
И типа за больше,NEUTRAL,82.25
"Хотя надо еще раз подумать, сколько за",NEUTRAL,82.97
вас больше,NEUTRAL,82.89
"оговорочки по фрейду, я сначал прочитал давайте попросим ее ""повеситься""..... много думал",NEUTRAL,80.58
"это ж надо было перепутать слова ""уволиться"" и ""повеситься"". Видимо, сильно по-фрейду",NEGATIVE,75.17
Ну и как вешаться? Ты же забрал шарф,NEGATIVE,75.14
Не выйдет,NEUTRAL,82.56
можно выкрутиться,NEUTRAL,81.77
кто ищет тот найдет,NEUTRAL,82.98
а зачем она скинула в группу мастер-класс по профилактике эмоционального выгорания?!😆,POSITIVE,83.86
"Для нас, конечно",NEUTRAL,82.73
набросал схему межведа,NEUTRAL,82.99
"Блять, еще утро, а она меня уже бесит!",NEGATIVE,75.15
Токсичная мразь,NEGATIVE,75.16
)),NEUTRAL,74.06
С любовью от благодарных подчиненных,POSITIVE,95.5
Мука надо было ей отдельно блинчиков напечь с начинкой из слабительного и снотворного,NEUTRAL,77.07
Мышьяк,NEUTRAL,57.96
Блинчики миндальные!,NEUTRAL,82.73
"Не, это уже уголовно наказуемо!",NEUTRAL,82.8
Миндальные это цианид,NEGATIVE,75.16
"Черт, палюсь",NEGATIVE,75.09
Ну может она на пенсию все-таки выйдет,NEUTRAL,79.04
А я с утра тут БПЛА ловлю,NEUTRAL,54.58
повышение среднего возраста дожития повышает налоговую нагрузку на трудоспособное население...,NEUTRAL,81.86
"Гуляла, услышала",NEUTRAL,67.55
Ну кормить ее тоже не хочется,NEGATIVE,75.17
"Женя, а она вообще довольна блинами? Она же не любит чаепития",NEGATIVE,75.15
"Сначал наехала, что я их принес и что все перестали работать, потом пришла и сожрала.",NEGATIVE,75.15
Как только не подавилась-то?,NEUTRAL,78.43
Ты о чем?,NEUTRAL,82.92
Да у нас тут недалеко беспилотник упал!,NEUTRAL,82.99
"Я иду, слышу бабах. Подумала, что беспилотник. И правда",NEUTRAL,81.83
Беспилотники низко летают - к грозе..,NEUTRAL,79.16
Офигеть,NEGATIVE,75.16
"Ох, слушаю юриста и у меня все слиплось!",NEUTRAL,76.93
Профессионализм в подлизывания вызывает восхищение,POSITIVE,93.55
🤣,POSITIVE,59.17
Как раз такие и нужны!,NEUTRAL,82.93
Поэтому 1 сентября договор заключат не все,NEUTRAL,82.18
пока не поздно взять мастер-класс,NEUTRAL,82.04
Ну еще бы такая экономия на сахаре,NEUTRAL,82.95
И сгущенке,NEUTRAL,82.97
"Жень, вы там еще долго?",NEUTRAL,82.82
Вроде нет,NEGATIVE,75.14
"Коллеги загадка про нашу работу:
Чем помидор отличается от трактора?!",NEUTRAL,82.09
"Помидор красный, а у трактора двери открываются наружу.",NEUTRAL,82.92
К пятнице совсем поплохело,NEUTRAL,82.58
И не говори. Мне сегодня заявили что я не должен в своей работе ориентироваться на комплексный план. Типа важен результат и работа в поле,POSITIVE,55.84
Хм как всё меняется,NEGATIVE,52.15
Ага неделю назад все было иначе.,NEUTRAL,77.5
А результат какой должен быть?,NEUTRAL,82.77
Дитё в семье?,NEUTRAL,82.94
Понятия не имею.,NEGATIVE,75.11
Меня все выбесило сегодня. Совещание на 4 часа и какая-то хрень.,NEGATIVE,75.15
,NEUTRAL,71.28
"Ее же на след неделе не будет, вот она наперёд и отрывалась",NEGATIVE,75.15
Ну блин,NEGATIVE,75.16
Я тут искала поинтереснее картинку,NEUTRAL,82.96
Ты меня опередил,NEGATIVE,75.06
Давай),NEUTRAL,82.82
Ахахахах,NEGATIVE,75.15
"Рассказал коту, он в ахуе",NEGATIVE,75.15
Может ей подарить кота?,NEUTRAL,82.95
Рубрика «Мы помогли»,NEUTRAL,82.0
40!,POSITIVE,65.07
«Опять вы чай пьете!»,NEUTRAL,82.75
А Оля живая?,NEUTRAL,82.96
"Мне кажется, это Оля",NEUTRAL,83.02
Проводы начальницы в отпуск,NEGATIVE,75.17
,NEUTRAL,71.28
Спасибо за экстренную психологическую помощь - меня отпустило),POSITIVE,98.15
«Пока начальница не в офисе»,NEUTRAL,82.96
"Ребята, это я, как ты меня нашла, Настасья?!",NEGATIVE,48.99
По маячку,POSITIVE,58.99
А это просто),NEUTRAL,81.09
"Ой, мне кажется, что голуби это мы🤣",NEUTRAL,64.45
А тот воробушек справа - это Игорь,NEUTRAL,82.06
Ой,NEGATIVE,75.08
Слева,NEUTRAL,81.96
🤣,POSITIVE,59.17
😂😂😂,POSITIVE,80.71
Вот почему мне нельзя за руль,NEGATIVE,75.16
почему?,NEGATIVE,75.16
Я поняла! Это поезд ранней помощи,NEUTRAL,82.95
))),NEUTRAL,73.34
Лево-право путаю,NEUTRAL,82.64
"Разумеется, за рулем это проблемы не вызовет",NEUTRAL,82.9
"если это, конечно, не на каком-то психомоторном уровне. Всё, поумничал",NEUTRAL,82.86
Принято,NEUTRAL,82.75
"Ладно, я просто не хочу. Мне нравится сидеть и смотреть в окошко",POSITIVE,96.13
А не за дорогой следить и всё такое прочее,NEUTRAL,61.4
вот и я об этом)),NEUTRAL,79.64
Психанул и обновил свое резюме,NEUTRAL,79.44
"кидай резюме в фонд Гордеевой - там, говорят, вакансии с сентября появятся",NEUTRAL,82.02
"Не говорят, там только аналитики требуются)))))",NEUTRAL,82.8
,NEUTRAL,71.28
А у меня тут своя особая кафкианская die Atmosfer. Может давайте по приезду Оли как-нибудь соберемся?,NEGATIVE,75.15
"Ахах, поддерживаю",NEUTRAL,66.68
Терапевтическая группа),NEUTRAL,82.38
"Ты где, я тут сдерживаю себя и не иду пить кофе....",NEGATIVE,75.15
Я уже еду!,POSITIVE,79.54
"Просто вчера у меня был недобор по километрам, поэтому утром я гуляла))",POSITIVE,99.07
"В целом не сдерживайся! Сказали, что от этого будни будут более красочными!",POSITIVE,95.56
Блять они больные!!!!!,NEGATIVE,75.15
Они блять собирались скидывать по 3к,NEUTRAL,82.67
Теперь думают антиквариат,NEUTRAL,82.76
Они долбанулись? Какие три тыщи,NEGATIVE,75.15
Пусть скидываются идиоты,NEGATIVE,75.15
"Ооооо, Игорь они туда тебя добавили)))))",POSITIVE,94.92
"Мы по тыщи кидали
Совсем что ли",NEGATIVE,75.15
Ну цветы за 4к и типа 3к мало на подарок такому замечательному человеку,POSITIVE,96.05
Я предложил подарить ей весло. Вручая подарок можно нечаянно им пиздануть!,NEGATIVE,75.15
вот юрист пишет: чтобы она вспомнила и улыбнулась наивный пздц,NEGATIVE,75.17
"Ахаххаха
Жень",POSITIVE,96.6
Антидепрессанты я ржу,POSITIVE,97.26
А ей бы не помешало,NEUTRAL,82.52
Они че бл? Собрались ей байдарку дарить? Вообще что ли?,NEUTRAL,77.88
Мне ладыгин написал,NEUTRAL,83.01
Ломают голову че дарить,NEGATIVE,75.13
Я считаю букет или живой цветок за 1000₽ и остальное деньгами,POSITIVE,49.77
Мы все равно не угадаем,NEUTRAL,82.88
Да блин нормальные барабанные палочки подарите - хороший подарок,NEUTRAL,82.59
Она нам и без них отлично по мозгам долбит,POSITIVE,94.22
Куда?) Меня нигде нет,NEGATIVE,75.07
Не надо выводить это на новый уровень,NEUTRAL,82.89
А мне показалось,NEUTRAL,81.31
Она на барабанах играет,NEUTRAL,82.08
"Я считаю нужно подарить книжку, которую ты советовал, Игорь:)
«Смерть от совещаний» что ли так называется?",POSITIVE,99.07
Пусть почитает,NEGATIVE,75.16
Мда,NEGATIVE,75.16
Ребята спасибо что вы мне просто скинулись!!!! Стремно от таких подарков,POSITIVE,97.38
Деньги лучший подарок!),POSITIVE,98.11
Мда,NEGATIVE,75.16
Я столько пропустила,NEUTRAL,75.22
Нашел идеальную свечку ей на торт,NEGATIVE,75.11
,NEUTRAL,71.28
И обложку для пенсионного удостоверения,NEUTRAL,82.83
"Ребят, я ухожу из проекта. Там еще и Игорь предлагал посидеть где-нибудь. Теперь уже два запроса на встречу!",NEGATIVE,75.15
А я в отпуск,NEGATIVE,75.17
И тоже,NEUTRAL,83.03
Рилли?,NEGATIVE,46.22
"Жень, ты серьезно?",NEUTRAL,82.91
"Я следующую неделю в Новосибе, Оля в отпуске, давайте через неделю соберемся?",NEUTRAL,81.23
"Угу, прости!",NEUTRAL,82.33
1 сентября пятница,NEUTRAL,76.85
Может 1 посидим?,NEUTRAL,82.5
Я за!,NEUTRAL,82.49
"правильно говорить ""прожекта"")",POSITIVE,98.13
ПроЖект - это от слова Жопа?,NEGATIVE,75.16
Тогда предварительно на 1 число!,NEUTRAL,82.73
"Прожект - разг. ирон. несерьёзный, ненужный, или несбыточный, неосуществимый, беспочвенный, неосновательный замысел, проект.",NEGATIVE,75.06
,NEUTRAL,71.28
"Да, меня не выпускают никак с больничного. И на больничном я не могу новый договор подписывать. Я и подумала, что в принципе происходит как я хочу - я не могу тут работать:)",POSITIVE,99.07
ГН я не говорила,NEUTRAL,82.83
У нее ДР все-таки:),NEUTRAL,82.3
ну может все-таки на ДР все вместе ей принесете заявления?)),POSITIVE,99.07
"Я ей после Новосибе скажу, чтобы не обострять",NEUTRAL,80.26
"Ах ты негодник, не жалеешь пожилую женщину",NEUTRAL,82.95
На Молодежной?,NEUTRAL,74.06
"Они коллектив Лодыгина, or и юриста решил ей подарить миниатюрные книжки с поэзией за 5к",NEUTRAL,74.82
Только чур в бар!,NEUTRAL,82.87
"нет, там пиво невкусное",NEGATIVE,75.13
Там через дорогу от хачапурной отличный английский паб,NEUTRAL,81.73
почему мы к Насте на район ездим постоянно?)),NEUTRAL,59.21
"Ребят, я без вас не смогу",NEUTRAL,72.28
Это будет пздц,NEGATIVE,75.16
Ну вообще я уже смогу куда-то поехать),POSITIVE,98.14
Могу еще предложить Строгино у нас есть недорогой и уютный бар,NEUTRAL,82.31
"Наташа останется, она вроде вменяемая",NEUTRAL,81.92
ну я согласен что в центре в пятницу вечером сложно что-то найти,NEUTRAL,79.99
Во-во!,NEUTRAL,77.03
ну или можно забронировать заранее,NEGATIVE,75.16
как обычно делают люди),NEUTRAL,82.57
